Amharic,Oromo
አብረው ብዙ ይጫወታሉ።,Baay'ee waliin taphatu.
ምናልባት አያውቁም።,Isaan tarii hin beekan.
ተባረርክ አሉት።,Hojii irraa ari'amte jedhan.
ልገድልህ ላኩኝ።,Si ajjeesuuf na erganii.
በአንድ ጊዜ ወደ ስራ ገቡ።,Yeroo tokkotti hojiitti seenan.
ሌሊቱን ሙሉ አደሩ።,Halkan guutuu hirribaa turan.
ሀብታም መሆን ይፈልጋሉ።,Dureeyyii ta'uu barbaadu.
ማግባት ይፈልጋሉ።,Gaa'ela godhachuu barbaadu.
ሁሉም ጅብ ነበሩ።,Hundi isaanii histerical turan.
ቴኒስ ይጫወቱ ነበር።,Teenisiin taphachaa turan.
በእውነት እድለኞች አልነበሩም።,Dhuguma carraa hin qabne turan.
ሲወጡ ታይተዋል።,Isaanis ba'anii mul'atan.
ሌላ ቦታ ነበሩ።,Bakka biraa turan.
እስረኞች ተያዙ።,Isaanis booji'amaniiru.
በጣም ጠያቂዎች ነበሩ።,Baayyee nama gaafatu turan.
እየጠበቁን ነበር።,Isaan nu eegaa turan.
ጠላትን ደመሰሱ።,Diina haxaa'an.
እድል አይኖራቸውም።,Carraa hin qabaatan.
አይሰሙህም።,Isaan si hin dhaggeeffatan.
አይገባቸውም ነበር።,Silaa hin hubatan ture.
እዚህ ሶስት ላይ ይሆናሉ።,Sa'aatii sadiitti as ga'u.
ቶምን ይንከባከባሉ።,Isaan Toomii ni kunuunsu.
ጥሩ ስራ እየሰሩ ነው።,Hojii gaarii hojjechaa jiru.
ሊገድሉኝ ነው።,Na ajjeesuuf deemu.
ወደ ጦርነት ይሄዳሉ።,Waraana deemaa jiru.
ሁልጊዜ ትክክል አይደሉም።,Yeroo hunda sirrii miti.
እየተከተሉኝ አይደለም።,Isaan na hordofaa hin jiran.
እነሱ የእኔ እስረኞች አይደሉም።,Isaan hidhamtoota koo miti.
የኛን ዘፈን እየተጫወቱ ነው።,Sirba keenya taphachaa jiru.
እነሱ ከኋላህ ናቸው።,Isaan sirriitti si duuba jiru.
ትክክል ናቸው።,Isaan sirrii akka ta'e beekamaadha.
አብረው በጣም ቆንጆዎች ናቸው።,Waliin baay'ee namatti tolu.
እነሱ ፈርተውሃል።,Isaan si sodaataniiru.
በጣም ይወዱታል።,Baayyee isa jaallatu.
ፊልም እየተመለከቱ ነው።,Fiilmii ilaalaa jiru.
ነገሮች በጣም ጥሩ ናቸው።,Wantoonni baayyee gaarii fakkaachaa jiru.
ነገሮች በፍጥነት ተባባሱ።,Dubbiin dafee hammaate.
ይህ መጠን ታክስን ያካትታል።,Maallaqni kun gibira dabalata.
ይህ ፅሁፍ የሚሸጥ ነው።,Barreeffamni kun gurgurtaaf dhiyaateera.
ይህ መፅሀፍ የእርስዎ ነው።,Kitaabni kun kan keeti.
ይህ መፅሀፍ ስለ ኮከቦች ነው።,Kitaabni kun waa'ee urjiilee kan ibsudha.
ይህ መፅሀፍ አስደናቂ ነው።,Kitaabni kun nama hawwata.
ይህ ሳጥን ፖም ይዟል።,Sanduuqni kun abaaboo of keessaa qaba.
ይህ ህንፃ ጥንታዊ ነው።,Gamoon kun durii dha.
ይህ መኪና በአልኮል ላይ ይሰራል።,Konkolaataan kun alkooliin hojjeta.
ይህ ምንጣፍ ቆንጆ ነው።,Kaarpetiin kun bareedaadha.
ይህ ቤተመንግስት ውብ ነው።,Masaraan kun bareedaadha.
ይህ ሰኣት እየሰራ አይደለም።,Sa'aatiin kun hin hojjetu.
ይህ ካፖርት አይመጥነኝም።,Kootiin kun naaf hin malu.
ይህ ካፖርት ሊስማማዎት ይችላል።,Kootiin kun siif mijachuu danda'a.
ይህ ቡሽ አይወጣም።,Korkiin kun hin bahu.
ይህ ጠቃሚ ሊሆን ይችላል።,Kun faayidaa guddaa qabaachuu danda'a.
ይህ መሳሪያ አይሰራም።,Meeshaan kun hin hojjetu.
ይህ አንተን አይመለከትም።,Kun si hin ilaallatu.
ይህ እርስዎን አያጠቃልልም።,Kun si hin hirmaachisu.
ይህ አያስደንቀኝም።,Kun na hin ajaa'ibu.
ይህ ውሻ ሰው ነው ማለት ይቻላል።,Sareen kun nama jechuun ni danda'ama.
ይህ ውሻ ይጠብቀናል።,Sareen kun nu eega.
ይህ በር አይከፈትም።,Balballi kun hin banamu ture.
ይህ ሁሉንም ነገር ያብራራል።,Kun waan hunda ibsa.
ይህ ምግብ ከግሉተን-ነፃ ነው።,Nyaanni kun giluteenii kan hin qabnedha.
ይህ የአትክልት ቦታ ቆንጆ ነው።,Iddoon biqiltuu kun bareedaadha.
ይህ መረቅ በጣም ወፍራም ነው።,Saawuziin kun baayyee furdaa dha.
ይህ በእኛ ላይም ደርሶብናል።,"Kun nu mudate, nutis."
ይህ ኮፍያ በጥሩ ሁኔታ ይስማማኛል።,Kopheen kun akka gaariitti naaf mijata.
ይህ ቤት ስድስት ክፍሎች አሉት።,Manni kun kutaa jaha qaba.
ይህ ቤት በጣም ትንሽ ነው።,Manni kun baayyee xiqqaadha.
ይህ አደገኛ መንገድ ነው።,Kun daandii balaa qabuudha.
ይህ የሚጠይቅ ተግባር ነው።,Kun hojii baay'ee nama gaafachiisudha.
ይሄ ጓደኛዬ ነው።,Kun hiriyyaa kooti.
ይህ አስቂኝ ኣረፍተ ነገር ነው።,Kun hima nama kofalchiisudha.
ይህ የአንድ መንገድ መንገድ ነው።,Kun daandii karaa tokkoo ti.
ይህ የእርስዎ ምስል ነው።,Kun suuraa kee ti.
ይህ ታዋቂ አርቲስት ነው።,Kun artistii beekamaadha.
ይህ የግል ጉዳይ ነው።,Kun dhimma dhuunfaati.
ይህ በጣም አሰቃቂ ነገር ነው።,Kun waan hamaadha.
ይህ በጣም ጥብቅ ምርጫ ነው።,Kun filannoo cimaadha.
ይህ ልብ የሚነካ ታሪክ ነው።,Kun seenaa nama tuqudha.
ይህ በጣም ረጅም ዛፍ ነው።,Kun muka baayyee dheeraa dha.
ይህ እንግዳ ኣረፍተ ነገር ነው።,Kun hima ajaa'ibaati.
ይህ ድንቅ መፅሀፍ ነው።,Kun kitaaba ajaa'ibaati.
ይህ ሁሉ ሴራ ነው።,Kun hundi shira.
ማድረግ ያለበት ይህ ብቻ ነው።,Kana qofa gochuu qaba.
ይህ ቀላል ኣረፍተ ነገር ነው።,Kun hima salphaadha.
ይህ እንደ እርሳስ ከባድ ነው።,Kun akkuma liidiin ulfaataadha.
ይህ በግልፅ የተሻለው ነው።,Kun isa hunda caalu ta'uun isaa ifaadha.
ይህ ሙሉ በሙሉ ሀሰት ነው።,Kun guutummaatti soba.
ይህ በጣም አሳሳቢ ነው።,Kun baay'ee nama dhiphisa.
ይህ እያበደኝ ነው።,Kun na maraachaa jira.
ይህ አድካሚ እየሆነ መጥቷል።,Kun nuffisiisaa dhufeera.
ይህ ቀላል ይሆናል።,Kun salphaa ta'uuf deema.
ይህ በጣም መደበኛ ያልሆነ ነው።,Kun ammoo sirna dhabdummaa olaanaadha.
ሩዝ እንዴት ማብሰል ይቻላል።,Ruuzii akkasitti bilcheessuun ni danda'ama.
ህይወት እንደዚህ ነች።,Jireenyi akkas ta'a.
ይህ ምናልባት አስፈላጊ ነው።,Kun barbaachisaa taʼuu hin oolu.
ይህ በጣም ያሳዝናል።,Kun hunda caalaa nama gaddisiisa.
ይህ የእኔ የንግድ ካርድ ነው።,Kun kaardii daldalaa kooti.
ይህ የእኔ ኢሜይል አድራሻ ነው።,Kun teessoo email kooti.
ይህ የአባቴ ክፍል ነው።,Kuni kutaa abbaa kooti.
ይህ የእኔ ተወዳጅ ክፍል ነው።,Kutaan ani baay'ee jaalladhu kana.
ይህ የእኔ ተወዳጅ ቦታ ነው።,Bakki ani baay'ee jaalladhu kana.
ይህ የእኔ ልዩ ሙያ አይደለም።,Kun addaa koo miti.
ይህ መግቢያ አይደለም።,Kun seensa miti.
ይህ በጣም ቅጥ ያጣ አይደለም።,Kun baayyee stylish miti.
ይህ የመጀመሪያ ትምህርታችን ነው።,Kun barumsa keenya isa jalqabaati.
ይህ ፍፁም የተለመደ ነው።,Kun guutummaatti waanuma jiruudha.
ይህ በጣም ውድ ነው።,Kun baayyee qaala'aa dha.
ይህ በጣም ተስፋ አስቆራጭ ነው።,Kun akka malee abdii nama kutachiisa.
ይህ እንደዚህ ያለ ደደብ ሀሳብ ነው።,Kun yaada akkas doofaadha.
ይህ በጣም አሳዛኝ ታሪክ ነው።,Kun seenaa gaddisiisaa akkasii ti.
ይህ በጣም ርካሹ ነው።,Kun isa gatii salphaadha.
እኔ የምመርጠው ይህ ነው።,Kan ani filadhu isa kana.
መውጫው ይህ ብቻ ነው።,Karaan ittiin bahu kana qofa.
ይህ ትክክለኛው መልስ ነው።,Deebii sirrii kana.
ይህ ከሁሉም የከፋ ነው።,Kun hunda caalaa hamaadha.
ይህ ለእኔ በጣም ቅመም ነው።,Kun anaaf garmalee mi'aawaa dha.
ይህ በጣም አስደሳች ነው።,Kun baayyee nama hawwata.
ቶም የሰጠኝ ይህ ነው።,Toom waan naaf kenne kana.
ይህ የመጨረሻ እድልህ ነው።,Kun carraa kee isa dhumaa ti.
ይህ ያንተ ብቸኛ እድል ነው።,Carraan keessan kana qofa.
ይህ ውድድር አይደለም።,Kun dorgommii miti.
ይህ ድርድር አይደለም።,Kun marii miti.
ይህ ከእንግዲህ አስቂኝ አይደለም።,Kun kana booda waan nama kofalchiisu miti.
እኔ የምፈልገው ይህ አልነበረም።,Kun waanan barbaade miti.
ይህ በእኔ ላይ ብቻ ሆነ።,Kun amma na mudate.
ይህ ልክ እንዳንተ አይደለም።,Kun akka kee miti qofa.
ይህ ቢላዋ በጣም ስለታም ነው።,Qilleensi kun baayyee qara qaba.
ይህ በጣም ያናድደኛል።,Kun baay'ee na aarsa.
ይህ በጣም ያስደስተኛል።,Kun baay'ee na gammachiisa.
ይህ ደሜ እንዲፈላ ያደርገዋል።,Kun dhiigni koo akka boba'u godha.
ይህ የማይቻል ሊሆን ይችላል።,Kun ta'uu dhiisuu danda'a.
ይህ ሙዚቃ ያሳምመኛል።,Muuziqaan kun na dhukkubsa.
ይህ አሮጌ ካፖርት ነበረው።,Kootiin dulloomaan kun qabateera.
ይሄኛው በጣም ቀላል ነው።,Inni kun baayyee salphaadha.
ይህ ክዋኔ ቀላል ነው።,Hojiin kun salphaadha.
ይህ ቁራጭ አይዛመድም።,Kutaan kun wal hin simne.
ይህ ቦታ አስፀያፊ ነው።,Bakki kun jibbisiisaadha.
ይህ ጥያቄ ቀላል አይደለም።,Gaaffiin kun salphaa miti.
ይህ መንገድ በጣም ጠባብ ነው።,Daandiin kun baayyee dhiphoodha.
ይህ ክፍል ምቹ ነው።,Kutaan kun mijataa dha.
ይህ ክፍል በጣም የተሞላ ነው።,Kutaan kun baayyee cufaadha.
ይህ ህግ አይተገበርም።,Seerri kun raawwatiinsa hin qabu.
ይህ ሸሚዝ የኔ መጠን አይደለም።,Qamisaan kun hamma koo miti.
ይህ ሸሚዝ ብረት መቀባት ያስፈልገዋል።,Qamisa kana sibiilaa barbaachisa.
ይህ ሱቅ ዘጠኝ ላይ ይዘጋል።,Dukkaanni kun sa'aatii sagalitti cufama.
ይህ ዘዴውን ማድረግ አለበት።,Kun mala sana hojjechuu qaba.
ይህ ብዙ ጊዜ ሊወስድ አይገባም።,Kun yeroo dheeraa fudhachuu hin qabu.
ይህ ዘፈን ያስደስተኛል።,Sirbi kun na gammachiisa.
ይህ ሾርባ በጣም ጥሩ ነው።,Shorbaan kun dhuguma gaarii dha.
ይህ ስቴክ በጣም ጭማቂ ነው።,Isteekiin kun baayyee dhangala'aa dha.
ይህ ሻይ በጣም ጣፋጭ ነው።,Shaayiin kun dhuguma mi'aawaa dha.
በዚህ ጊዜ የተለየ ነው።,Yeroo kana garuu adda.
ይህ የቶም ስጦታ ነበር።,Kun kennaa Toomii irraa argame ture.
ይህ ጉድጓድ ፈፅሞ አይደርቅም።,Boolli kun gonkumaa hin gogu.
ይህ በፈተና ላይ ይሆናል።,Kun qormaata irratti ta'a.
ይህ ለአንድ ወንበር ይሰራል።,Kun teessoo tokkoof ni hojjeta.
እነዚያ ማስታወሻ ደብተሮች የእኔ ናቸው።,Dabtaroota sun kan kooti.
ሶስት ተወካዮች በጥይት ተመትተዋል።,Itti aanaan sadii rasaasaan rukutamaniiru.
ከእነዚህ ውስጥ ሶስቱ የቶም ናቸው።,Isaan keessaa sadii kan Toomii ti.
ጊዜ እንደ ቀስት ይበርራል።,Yeroon akka xiyyaa balali'a.
ጊዜው በጣም በፍጥነት አለፈ።,Yeroon baayyee dafee darbe.
ለእኔ እሱ እንደ ንጉስ ነው።,Anaaf akka mootiiti.
ዛሬ የቫላንታይን ቀን ነው።,Har'a guyyaa jaalalaa ti.
ዛሬ በጣም ቆንጆ ቀን ነው።,Har'a guyyaa bareedaadha.
ዛሬ በጣም አስከፊ ቀን ነበር።,Har'a guyyaa hamaa ture.
ቶኪዮ በጣም ትልቅ ከተማ ነች።,Tookiyoon magaalaa baayyee guddaadha.
ቶም ቤተሰቡን ጥሎ ሄደ።,Toom maatii isaa dhiisee deeme.
እኔና ቶም አብረን እንሄዳለን።,Aniifi Toom waliin deemna.
ቶም እና ማርያም ውጭ ናቸው።,Toomii fi Meerii ala jiru.
ቶም እና ማርያም ተጨንቀዋል።,Toomii fi Meerii yaaddoo keessa jiru.
ቶም ቅናሽ ጠየቀ።,Toom hir'ina gatii gaafate.
ቶም እንድንቀመጥ ጠየቀን።,Toom akka taa'u nu gaafate.
ቶም ጥያቄውን አስቀርቷል።,Toom gaaffii kanarraa fagaate.
ቶም ፈረንሳይኛ መናገር ብቻ ነው።,Toom afaan Faransaayii baayʼee rakkinaan dubbata.
ቶም አእምሮ የጠፋ ሆነ።,Toom nama sammuu irraa fagaate.
ቶም በጨዋታው ላይ 300 ተወራረደ።,Toom tapha kana irratti doolaara 300 bet godhe.
ቶም ለማርያም ትኬት ገዛ።,Toom Maariyaamiif tikkeettii bite.
ቶም ምግብ አመጣ።,Toom nyaata haaromsaa fidee dhufe.
ቶም በየምሽቱ ይደውልልኛል።,Toom halkan hunda naaf bilbila.
ቶም 30 ደቂቃ ዘግይቶ መጣ።,Toom daqiiqaa 30 booda dhufe.
ቶም ትናንት ማታ እዚህ መጣ።,Toom kaleessa galgala as dhufe.
ቶም በጣም ማራኪ ሊሆን ይችላል።,Toom baayʼee nama hawwachuu dandaʼa.
ቶም ክፍሌ ውስጥ መተኛት ይችላል።,Toom kutaa koo keessa rafuu danda'a.
ቶም ጀልባ መግዛት አይችልም።,Toom yaatii bitachuu hin danda'u.
ቶም እንዲህ ማለት አልቻለም።,Toom akkas jechuu hin danda'u ture.
ቶም የት እንደሆነ ማስታወስ አልቻለም።,Toom eessa akka jiru yaadachuu hin danda'u.
ቶም ማርያምን መቃወም አይችልም።,Toom Maariyaam diduu hin danda'u.
ቶም የመጣው ከአውስትራሊያ ነው።,Toom Awustiraaliyaa irraa dhufe.
ቶም ራሱን ተቃወመ።,Toom of faallesse.
ቶም መተንፈስ አልቻለም።,Toom hafuura baafachuu dadhabe.
ቶም ሊያስቅህ ይችላል።,Toom si kolfisiisuu danda'a.
ቶም ሊከተለን ይችል ነበር።,Toom nu hordofuu danda'a ture.
ቶም ማንንም መግደል አልቻለም።,Toom nama ajjeesuu hin dandeenye.
ቶም ለመተባበር ወሰነ።,Toom tumsuuf murteesse.
ቶም ማስተዋወቂያ ይገባዋል።,Toom guddina sadarkaa argachuun isaaf mala.
ቶም በጣም የተሻለ ይገባዋል።,Toom kana caalaa baay'ee argachuu qaba.
ቶም ምንም ነገር አላገኘም።,Toom homaa hin arganne.
ቶም ኮሌጅ አልገባም።,Toom kolleejjii hin deemne.
ቶም ጫማ አልነበረውም።,Toom kophee hin uffatu ture.
ቶም ምንም አልሰማም።,Toom homaa hin dhageenye.
ቶም የተናደደ አይመስልም።,Toom waan mufate hin fakkaatu ture.
ቶም ለመርዳት አላቀረበም።,Toom gargaaruuf hin dhiheessine.
ቶም እፎይ ያለ አይመስልም።,Toom waan boqonnaa argate hin fakkaatu ture.
ቶም ለረጅም ጊዜ አልቆየም።,Toom yeroo dheeraaf hin turre.
ቶም ስለ እሱ አልተናገረም።,Toom waa'ee kanaa hin dubbanne.
ቶም ምንም ነገር አልፈለገም።,Toom homaa hin barbaanne.
ቶም ይህ አይገባውም።,Toomiin kun hin malu.
ቶም ቡና አይጠጣም።,Toom buna hin dhugu.
ቶም በትክክል አይበላም።,Toom sirnaan hin nyaatu.
ቶም እንኳን አያውቀውም።,Toom na illee hin beeku.
ቶም እንስሳትን አይገድልም።,Toom bineensota hin ajjeesu.
ቶም ካሮት አይወድም።,Toom kaarotaa hin jaallatu.
ቶም ዘፈን አይወድም።,Toom sirbuu hin jaallatu.
ቶም መዘመር አይወድም።,Toom sirbuu hin jaallatu.
ቶም የተደሰተ አይመስልም።,Toom waan gammade hin fakkaatu.
ቶም የፈራ አይመስልም።,Toom sodaa hin fakkaatu.
ቶም ፈረንሳይኛ አይናገርም።,Toom afaan Faransaayii hin beeku.
ቶም ማቆም አይፈልግም።,Toom dhaabuu hin barbaadu.
ቶም መፅሀፍትን ማንበብ ይወዳል።,Toom kitaabota dubbisuun ni jaallata.
ቶም ቀልዶችን መናገር ይወዳል።,Toom qoosaa himuun isa gammachiisa.
ቶም የይለፍ ቃሉን አስገባ።,Toom jecha icciitii isaa galche.
ቶም ወደ አውስትራሊያ ሸሸ።,Toom gara Awustiraaliyaa miliqe.
ቶም በመጨረሻ አምኗል።,Toom dhuma irratti himate.
ቶም ቻናሎቹን ገለበጠ።,Toom chaanaalii garagalche.
ቶም ባዶ ብልቃጥ አገኘ።,Toom qaruuraa duwwaa tokko argate.
ቶም በየቀኑ ይሰክራል።,Toom guyyaa guyyaan machaa'a.
ቶም ትናንት ማታ ሰከረ።,Toom kaleessa galgala machaa'e.
ቶም አፍንጫውን ተወጋ።,Toom hidhii isaa bocame.
ቶም በትራፊክ ውስጥ ተጣብቋል።,Toom tiraafikaa keessatti qabame.
ቶም የሚገባውን አግኝቷል።,Toom waan isaaf malu argate.
ቶም ስራውን መተው ነበረበት።,Toom hojii isaa dhiisuu qaba ture.
ቶም ለማርያም ሙዝ ሰጣት።,Toom banana tokko Meeriif kenne.
ቶም ለማርያም ጠርሙስ ሰጣት።,Toom qaruuraa tokko Meeriif kenne.
ቶም ብዙ ጠላቶች አሉት።,Toom diina baay'ee qaba.
ቶም አዲስ የሴት ጓደኛ አላት።,Toom jaalallee haaraa qaba.
ቶም ጆን የሚባል ልጅ አለው።,Toom ilma Joon jedhamu qaba.
ቶም በጣም ትልቅ ኢጎ አለው።,Toom ego baayyee guddaa qaba.
ቶም የጥቃት መስመር አለው።,Toom jeequmsa walitti aansuun qaba.
ቶም በቃላት መንገድ አለው።,Toom jechootaan karaa qaba.
ቶም ለሙዚቃ ጆሮ አለው።,Toom muuziqaaf gurra qaba.
ቶም የሚረሳ ሆኗል።,Toom dagatamaa ta'eera.
ቶም ሊቆም አልቻለም።,Toom kan hin dhaabbanne ta'ee jira.
ቶም እንደገና ዋሽቶኛል።,Toom ammas na sobe.
ቶም ጠባብ ትከሻዎች አሉት።,Toom garba dhiphoo qaba.
ቶም ዩፎ አይቶ አያውቅም።,Toom UFO argee hin beeku.
"ቶም ምንም እድል የለውም, አይደል?",Toom carraa hin qabu mitiiree?
ቶም የቅርብ ጓደኞች የሉትም።,Toom hiriyyoota dhiyoo hin qabu.
ቶም በህይወት ውስጥ ምንም ግብ የለውም።,Toom jireenya keessatti galma hin qabu.
ቶም ተመሳሳይ አስተያየት አለው።,Tooms yaada wal fakkaatu qaba.
ቶም ነገ መስራት አለበት።,Toom boru hojjechuu qaba.
ቶም ማርያምን ገና አላያትም።,Toom hanga ammaatti Maariyaam hin argine.
ቶም የ33 ኣመት ሰው ነው።,Toom nama ganna 33 ti.
ቶም ተወላጅ አሜሪካዊ ነው።,Toom dhalataa Ameerikaa ti.
ቶም የተፈረደበት ወንጀለኛ ነው።,Toom yakkamaa yakkamaa ta'eedha.
ቶም አስደናቂ ሰው ነው።,Toom gurbaa nama hawwatuudha.
ቶም የሶስት ልጆች አባት ነው።,Toom abbaa ijoollee sadii ti.
ቶም ታላቅ ስፖርተኛ ነው።,Toom ispoortii guddaadha.
ቶም በጣም ጥሩ ሰው ነው።,Toom gurbaa dhuguma namatti toludha.
ቶም በጣም ጥሩ ሰው ነው።,Toom dhuguma gurbaa gaarii dha.
ቶም ኣይናፋር ወጣት ነው።,Toom dargaggeessa sodaachisaa dha.
ቶም ዶክተሮችን ይፈራሉ።,Toom hakiimota ni sodaata.
ቶም ቀድሞውኑ ቦስተን ውስጥ ነው።,Toom reefuu Booston keessa jira.
ቶም ትኩረት የሚስብ ሰው ነው።,Toom gurbaa nama hawwatuudha.
ቶም ስራ ላይ ነው አይደል?,Toom hojii irra jira mitii?
ቶም ቀናት እየቆጠሩ ነው።,Toom guyyoota lakkaa'aa jira.
ቶም የሆነ ነገር እየሳለ ነው።,Toom waan tokko kaasaa jira.
ቶም በጣም ታጋሽ ነው።,Toom garmalee obsa qaba.
ቶም ከትንሽ ከተማ ነው።,Toom magaalaa xiqqoo irraa dhufe.
ቶም ሊደበድብህ ነው።,Toom si rukutuuf deema.
ቶም ሊደሰትበት ነው።,Toom itti gammaduuf deema.
ቶም ለገንዘብ በጣም ከባድ ነው።,Toom qarshiidhaaf cimaadha.
ቶም ደግ እና ለጋስ ነው።,Toom gaarummaa fi arjaa dha.
ቶም በሚቀጥለው ኣመት ይሄዳል።,Toom bara dhufu ni deema.
ቶም እየሄደ ነው አይደል?,Toom deemaa jira mitii?
ቶም ስራ እየፈለገ ነው።,Toom hojii barbaada.
ቶም ጀርባው ላይ ተኝቷል።,Toom dugda isaatiin ciisee jira.
ቶም ከጎኑ ተኝቷል።,Toom cinaacha isaatiin ciisee jira.
ቶም ይህን እንዳደርግ እያደረገኝ ነው።,Toom kana akkan godhu na taasisaa jira.
ቶም ወለሉን እየጠበበ ነው።,Toom lafa haxaa'aa jira.
ቶም ተጨነቀ አይደል?,Toom ni rifateera mitiiree?
ቶም ከእንግዲህ አይቀናም።,Toom kana booda hinaaffaa hin qabu.
ቶም ከእንግዲህ አላገባም።,Toom kana booda gaa'ela hin qabu.
ቶም አሁን አለቃዬ አይደለም።,Toom kana booda hogganaa koo miti.
ቶም አሁን ነጋዴ ነው።,Toom amma daldalaa ta'eera.
ቶም በግልፅ ተጨንቋል።,Toom yaaddoo keessa akka jiru beekamaadha.
ቶም ከጓደኞቼ አንዱ ነው።,Toom hiriyyoota koo keessaa tokko.
ቶም ከጓደኛ ጋር ወጥቷል።,Toom hiriyyaa isaa waliin bahee jira.
ቶም ታጋሽ ነው አይደል?,Toom obsa qaba mitii?
ቶም በልጆቹ ይኮራል።,Toom ilmaan isaatiin ni boona.
ቶም በጣም ተባባሪ ነው።,Toom baayʼee tumsa kan godhudha.
ቶም ይልቅ ብሩህ ተስፋ ነው።,Toom abdii guddaa qaba.
ቶም ማርያምን እየወቀሰ ነው።,Toom Meerii ceepha'aa jira.
ቶም ከማርያም በስተጀርባ ነው።,Toom sirriitti Meerii duuba jira.
ቶም ሰነዶችን እየፈረመ ነው።,Toom sanadoota mallatteessaa jira.
ቶም አሁን ገላውን እየታጠብ ነው።,Toom amma dhiqachaa jira.
ቶም እየተንከባከበኝ ነው።,Toom na kunuunsaa jira.
ቶም በጣም ቆንጆ ነው።,Toom baayyee namatti tola.
ቶም ማየት የተሳነው ነው።,Toom ijaan arguu dadhabeera.
ቶም ዜናውን እየተመለከተ ነው።,Toom oduu kana ilaalaa jira.
ቶም ባንክ ውስጥ እየሰራ ነው።,Toom baankii tokko keessatti hojjechaa jira.
ቶም የማርያም ባል አይደለም።,Toom abbaa warraa Meerii miti.
ቶም ጥሩ ከበሮ መቺ አይደለም።,Toom nama shubbisaa gaarii miti.
ቶም ጥሩ ዋናተኛ አይደለም።,Toom nama dambalii gaarii miti.
ቶም ጥሩ አስተማሪ አይደለም።,Toom barsiisaa gaarii miti.
ቶም ሰነፍ ተማሪ አይደለም።,Toom barattuu dadhaboo miti.
ቶም ፕሮፌሽናል አይደለም።,Toom ogeessa miti.
ቶም አስተርጓሚ አይደለም።,Toom nama afaan hiikaa miti.
ቶም እንደ እኔ እድሜ አይደለም።,Toom akka koo umriin isaa hin jiru.
ቶም እንደ እኔ አያፍርም።,Toom akka koo qaana'aa miti.
ቶም አሁን ስራ አልበዛበትም።,Toom yeroo ammaa kana hojiin itti hin baay'atu.
ቶም ምንም እየሰራ አይደለም።,Toom homaa hin hojjetu.
ቶም ቮድካን እየጠጣ አይደለም።,Toom vodkaa hin dhugu.
ቶም ለመልቀቅ ዝግጁ አይደለም።,Toom deemuuf qophii miti.
ቶም በጣም ፈላጊ አይደለም።,Toom baay'ee hawwii guddaa hin qabu.
ቶም በጣም እርግጠኛ አይደለም።,Toom baay'ee ofitti amanamummaa hin qabu.
ቶም ጓንት አልለበሰም።,Toom guwaantii hin uffanne.
ቶም የዋና ቡድኑን ተቀላቀለ።,Toom garee dambalii sanatti makame.
ቶም አውስትራሊያን በደንብ ያውቃል።,Toom Awustiraaliyaa sirriitti beeka.
ቶም የማርያምን አድራሻ ያውቃል።,Toom teessoo Meerii ni beeka.
ቶም ብዙ ዘፈኖችን ያውቃል።,Toom sirboota baay'ee beeka.
ቶም ውሻውን እቤት ተወው።,Toom saree isaa mana keessatti dhiisee deeme.
ቶም ያለ ማስጠንቀቂያ ወጣ።,Toom akeekkachiisa malee ba'e.
ቶም እግር ኳስ መጫወት ይወዳል።,Toom kubbaa miilaa taphachuu ni jaallata.
ቶም ቴኒስ መጫወት ይወዳል።,Toom teenisii taphachuu ni jaallata.
ቶም በጥሞና አዳመጠ።,Toom xiyyeeffannaadhaan dhaggeeffate.
ቶም ትንሽ ግራ የተጋባ ይመስላል።,Toom xiqqoo waan ajaa'ibsiifate fakkaata ture.
ቶም በጣም ስራ የበዛበት ይመስላል።,Toom garmalee hojiin kan itti baay'ate fakkaata.
ቶም በጣም የተደናገጠ ይመስላል።,Toom baay'ee na'ee fakkaata.
ቶም ከቤት ውጭ መሆን ይወዳል።,Toom ala ta'uu ni jaallata.
ቶም ሙዚቃን ማጥናት ይወዳል።,Toom muuziqaa barachuu ni jaallata.
ቶም ከባድ ስህተት ሰርቷል።,Toom dogoggora guddaa hojjete.
ቶም ለእራት ወጥ ሰራ።,Toom irbaataaf istaawu hojjete.
ቶም ሊኮራብህ ይገባል።,Toom sitti boonuu qaba.
ቶም የሀኪም ማዘዣ ያስፈልገዋል።,Toom ajaja yaalaa barbaada.
ቶም አሁን ይህን ማድረግ አለበት።,Toom amma kana gochuu qaba.
ቶም ፈረንሳይኛ አያውቅም።,Toom Faransaayii baratee hin beeku.
ቶም ትምህርት ቤት ሄዶ አያውቅም።,Toom mana barumsaa dhaqee hin beeku.
ቶም ብዙውን ጊዜ ራስ ምታት ያጋጥመዋል።,Toom yeroo baayʼee mataa dhukkubsata.
ቶም የሚበላው ነጭ ስጋ ብቻ ነው።,Toom foon adii qofa nyaata.
ቶም የሚሰራው የትርፍ ሰኣት ብቻ ነው።,Toom yeroo muraasa qofa hojjeta.
ቶም አንድ ኩባያ ሻይ አዘዘ።,Toom shaayii tokko ajaje.
ቶም በትንሽ ለውጥ ተከፍሏል።,Toom jijjiirama xiqqaadhaan kaffale.
ቶም በማይመች ሁኔታ ቆመ።,Toom mijataa ta'ee xiqqoo dhaabate.
ቶም ከእኛ ጋር ቁማር ተጫውቷል።,Toom nu waliin poker taphachaa ture.
ቶም ከድመቶቹ ጋር ተጫውቷል።,Toom sareewwan isaa waliin taphate.
