Amharic	English	Afan Oromo
ገንዘቡን ነገ እሰጥሃለሁ።	I will give you the money tomorrow.	Boru qarshii siif kenna.
ምን ማድረግ እንደምችል አያለሁ ፣ ግን ምንም ቃል የለም ።	I'll see what I can do, but no word.	Waanan gochuu danda'u nan ilaala, garuu homaa sagaleen hin jiru.
አስተዋይ ሁን።	Be sensible.	Of eeggannoo qabaadhu.
ረጅሙ ልጅ ነው።	He is the tallest boy.	Inni mucaa dheeraa dha.
ቶም ምንም ቃል አልተናገረም።	Tom didn't say a word.	Toom jecha tokkollee hin dubbanne.
ቀድመህ ቤት ነህ አይደል?	You're home already, aren't you?	Daftee mana seente mitii?
ተላልፈህ ታውቃለህ።	You know you've been betrayed.	Gantee beektaa.
ይህን ይወዳሉ።	They love this.	Kana ni jaallattuu.
መዶሻውን ስጠኝ ፣ አይደል?	Give me the hammer, won't you?	Burrusa sana naaf kenni, ni kennitaa?
ጥቂት ጥያቄወችን ልጠይቅህ እፈልጋለሁ።	I would like to ask you a few questions.	Gaaffii muraasa si gaafachuun barbaada.
እኔ ብዙውን ጊዜ እውነት ነኝ።	I'm usually honest.	Yeroo baayyee ifatti dubbadha.
ፋሽን ብቻ ነው።	It's just a fad.	Faashinii qofa.
ይህ ፍንጭ ነበር።	This was a clue.	Sun akeekkachiisa turee.
ቶም ጊታርን ከማውቀው ከማንኛውም ሰው በተሻለ ይጫወታል።	Tom plays the guitar better than anyone I know.	Toom nama ani beeku hunda caalaa gitaara taphata.
ማርያምን እንድታገባኝ ልጠይቃት ነው።	I am going to ask Mary to marry me.	Maariyaam akka natti heerumtu gaafachuuf deema.
እንድትነዳ አልፈቅድልህም።	I won't let you drive.	Konkolaachisaa siif hin hayyamu.
ተቀማጭ ገንዘብ ያስፈልግወታል።	A deposit is required.	Kuufama si barbaachisa.
ይህ ጃኬት ትንሽ በጣም ትልቅ ነው።	This jacket is a little too big.	Jaakkeettiin kun xiqqoo guddaadha.
ቶም አባል ነው።	Tom is a member.	Toom miseensadhaa.
መስኮቱን ዝጋ።	Close the window.	Foddaa cufi.
ሌላ እቅድ አውጥተሃል።	You made another plan.	Karoora biraa baafattaniittu.
ሰይፉ ወደ ልቡ ገባ።	The sword went into his heart.	Qilleensi gara onneesa seene.
ሁላችንም ደህና ነን ብየ አስባለሁ።	I think we are all fine.	Hundi keenya nagaa jirra jedheen yaada.
ቶምን መጠየቅ ያለብህ ይመስለኛል።	I think you should ask Tom.	Toom gaafachuu qabda jedheen yaada.
ልጀ አስተማሪ ሊሆን ነው።	My son is going to be a teacher.	Ilmi koo barsiisaa ta'uuf deema.
እህቴ ዶክተር አገባች።	My sister married a doctor.	Obboleettiin koo doktoratti heerumte.
ሁሌም ተመሳሳይ ነገር አደርጋለሁ።	I always do the same thing.	Yeroo hundumaa waan wal fakkaatan hojjedha.
መንሳፈፍ ቀላል ነው።	Floating is easy.	Lola'uun salphaadha.
ያ ምንም ትርጉም የለሽ ነው።	That makes no sense.	Sun homaa hiika hin qabu.
የፊደል አፃፃፉ ትክክል አይደለም።	The spelling is incorrect.	Qubeen sun sirrii miti.
ያ ደግሞ ነገሮችን ያባብሰዋል።	And that makes things worse.	Sun ammoo wantoota hammeessa.
ይህን ያህል ቀላል ሊሆን ይችላል።	It can be that simple.	Akkas salphaa taʼuu dandaʼaa.
የሚመጣበት ጥሩ እድል አለ።	There's a good chance it will.	Carraan inni dhufuu isaa guddaadha.
አስደሳች ታሪኮችን በመስራት ጎበዝ ነች።	She is good at making interesting stories.	Seenaa hawwataa tolchuu irratti dandeettii qabdi.
ቶም ማርያምን ትወደው እንደሆነ ጠየቀቻት።	Tom asked Mary if she loved him.	Toom Maariyaam akka isa jaallattu gaafate.
ወላጆችህ አልመጡም እንደ።	Like your parents didn't come.	Warri kee hin dhufne mitii.
ታመምኛለህ።	You make me sick.	Na dhukkubsa.
ቀን እተኛለሁ እና ማታ እሰራለሁ።	I sleep during the day and work at night.	Guyyaa rafee halkan hojjedha.
ስሜቱን አደንቃለሁ።	I appreciate the sentiment.	Miira sana nan dinqisiifadha.
ምናልባት ቶም መሄድ ያልቻለው ምንም ገንዘብ ስለሌለው ሊሆን ይችላል።	Maybe Tom couldn't go because he didn't have any money.	Tarii sababni Toom deemuu hin dandeenyeef maallaqa waan hin qabneef ta'uu danda'a.
የምሽት ጉጉት ነኝ።	I'm a night owl.	Ani halkan Hurunguuti.
ጥይቱ በደም ወሳጅ ቧንቧ በኩል ቆረጠ።	The bullet cut through an artery.	Rasaasni kun ujummoo dhiigaa tokko keessaa kute.
ዘጠኝ አበባወችን ገዛሁ።	I bought nine flowers.	Daraaraa sagal bitadheera.
ቶም በመቆለፊያ ውስጥ ያለውን ቁልፍ ረሳው።	Tom forgot the key in the lock.	Toom furtuu qulfii keessa jiru dagate.
ስካንኮች ቁንጫወችን ይበላሉ።	Skunks eat fleas.	Skunks qamalee nyaatu.
የቶም ስም በሳጥኑ ላይ ነበር።	Tom's name was on the box.	Maqaan Toomii saanduqa sanarra ture.
ዛሬ ነፃ ነህ።	Today you are free.	Har'a bilisoomtee.
ቤተሰብወን ይንከባከቡ።	Take care of your family.	Maatii kee kunuunsi.
"የመዳን ካምፕ እንደት ነበር? "" ጠላሁት ሁለት ቀን ብቻ ነው የቆየሁት።""።"	"Survival camp was like, ""I hated it. I only stayed two days.""."	"Mooraa lubbuun jiraachuu akkam ture? ""Jibeen ture. Guyyaa lama qofa ture.""."
ባለጌ ስለሆንኩህ አዝናለሁ።	I'm sorry for being rude to you.	Dhiifama gara jabinaan sitti agarsiisef.
ሲዋኝ ተመለከተችው።	She watched him swim.	Isheenis yeroo inni dambali'u ilaalte.
እንደ መምህርም እንደ ሰውም ይከበር ነበር።	He was respected as a teacher and as a person.	Akka barsiisaattis ta'e akka namaatti kabaja guddaa qaba ture.
ወደ መኝታ መሄድ አለብህ።	You should go to bed.	Ciisuu qabda.
ማንም አልሰማውም።	No one heard him.	Namni dhaggeeffate hin jiru.
ምን እየሰራህ ነው።	what are you doing.	Maal hojjechaa jirta.
ቶም እዚያ ሰርቷል።	Tom worked there.	Toom achitti hojjeta ture.
አድስ ልብስ እሰራልሃለሁ።	I will make you new clothes.	Uffannaa haaraa isiniif nan tolcha.
ከባድ ስህተት ሰርቷል።	He made a grave mistake.	Dogoggora guddaa hojjete.
እሱ በእርግጥ ወደ እኔ መጣ።	He really came to me.	Dhuguma na bira ga'e.
በማንኛውም ደቂቃ ሊዘንብ ይችላል።	It could rain any minute.	Daqiiqaa kamiyyuu roobni roobuu danda'a.
ለምንድነው መዋቢያወች የማለቂያ ጊዜ ያላቸው።	ERROR: The read operation timed out.	Meeshaaleen miidhaginaa maaliif guyyaa dhumaa qabu.
አሁን የትኛውን ጨዋታ መጫወት ይፈልጋሉ?	Which game do you want to play now?	Amma tapha akkamii taphachuu barbaadda?
በእውነት አንድ ሰው መምታት አለብኝ።	I really need to punch someone.	Dhuguma nama tokko rukutuun qaba.
አንዱ ቀይ ሲሆን ሌላኛው ነጭ ነው።	One is red and the other is white.	Tokko diimaa, inni kaan immoo adii dha.
ስለ እሱ በጣም የተረጋጋ ይመስላል።	He seemed very calm about it.	Waa'ee kanaa baay'ee tasgabbaa'aa fakkaatta.
ትዳር ሎተሪ ነው።	Marriage is a lottery.	Gaa'elli lootarii dha.
ይህ ጠረጴዛ ጥሩ ነው።	ERROR: The read operation timed out.	Deeskiin kun gaarii dha.
ቶም የት ማቆም እንዳለብህ ነግሮሃል።	Tom told you where to stop.	Toom bakka dhaabuu qabdu sitti himeeraa.
እየሰማሀኝ ነው።	You are listening to me.	Na dhaggeeffachaa jirtaa.
ያ ሰውየ ይገርማል።	That man is amazing.	Gurbaan sun waan ajaa'ibaati.
ቶም ቦስተን እያለ በየቀኑ ማለት ይቻላል ይደውልልኝ ነበር።	Tom called me almost every day when he was in Boston.	Toom yeroo Booston ture guyyaa hunda jechuun ni danda'ama naaf bilbile.
መጨረሻው ዘደውን ያፀድቃል።	The end justifies the means.	Xumurri mala sanaaf sababa ta'aa.
ቶም ስለወደፊቱ ይጨነቃል።	Tom worries about the future.	Toom waaʼee egeree yaaddoo guddaa qaba.
እባካችሁ ደንቡን አብራሩልኝ።	Please explain the rule to me.	Maaloo seera naaf ibsaa.
እኛ እየረከብን ነው።	We are taking over.	Nuti fudhachaa jirra.
እርግጠኛ ነኝ ይህ ሁሉ አለመግባባት ነው።	ERROR: the JSON object must be str, bytes or bytearray, not NoneType.	Kun hundi wal hubachuu dadhabuudha.
እሷም እንደ አንድ ሃሳብ ፣ አንዳንድ ግብይት ልታደርግ እንደሆነ አክላለች።	ERROR: the JSON object must be str, bytes or bytearray, not NoneType.	Itti dabaluudhaanis akka yaadaatti bittaa tokko tokko gochuuf akka jirtu dubbatteetti.
አንዳንድ አሜሪካውያን የኮሚኒስት ፓርቲ አባል ሆነዋል።	Some Americans joined the Communist Party.	Lammiileen Ameerikaa tokko tokko Paartii Koominiistiitti makaman.
ጥረትህን አደንቃለሁ።	ERROR: The read operation timed out.	Carraaqqii keessan nan dinqisiifadha.
አሁንም በህይወት ነን።	We are still alive.	Ammas lubbuun jirra.
ቶም እና ማርያም ቬጀቴሪያኖች ናቸው።	Tom and Mary are vegetarians.	Toomii fi Maariyaam vegetarian dha.
ከውድድሩ ውጭ ሆኗል።	He is out of the competition.	Dorgommii kanarraa ari'ameera.
ሞቃት ነበርክ አይደል?	You were hot, weren't you?	Ho'aa turte mitii?
ሁለቱም ቶም እና ማርያም ተባረሩ።	Both Tom and Mary were fired.	Toomii fi Maariyaam lamaan isaanii iyyuu hojiirraa ariʼaman.
ወላጆቹ ይወዱኝ ነበር።	His parents loved me.	Warri isaa na jaallatu turan.
ለሁሉም የሚሆን በቂ ቦታ የለም።	There isn't enough room for everyone.	Bakka nama hundaa gahu miti.
ቶም ዛሬ ማታ ሊጎበኘኝ ነው።	Tom is going to visit me tonight.	Toom galgala kana na daawwachuuf jira.
ቶም በድንገት ሳንቲም ዋጠ።	Tom accidentally swallowed a coin.	Toom akka tasaa saantima tokko liqimse.
ሲያጨሱ ኖረዋል።	ERROR: The read operation timed out.	Tamboo xuuxaa turtaniittuu.
ድመቷን ከቦርሳው ውስጥ እንዳትወጣ።	Don't let the cat out of the bag.	Adurretti boorsaa keessaa akka hin baafne.
በረዶ ይሆናል ወይ ብየ አስባለሁ።	I wonder if it will snow.	Cabbii ta'aa laata jedhee yaadera.
በሶስት አመት ይበልጠኛል።	He is three years older than me.	Waggaa sadiin caala.
ይህን በር መቆለፍ አልችልም።	I can't lock this door.	Balbala kana cufuu hin danda'u.
ንግግራችንን ቀዳሁ።	ERROR: The read operation timed out.	Haasaa keenya waraabe.
ጥቂት ጥያቄወችን መጠየቅ አለብኝ።	I have to ask a few questions.	Gaaffii muraasa gaafachuun qaba.
እንደት ሚስጥር መጠበቅ እንዳለብህ ታውቃለህ።	ERROR: The read operation timed out.	Akkamitti iccitii akka qabattu beektaa.
መጥፎ የአየር ሁኔታ እንዳንሄድ ከለከለን።	Bad weather prevented us from going.	Haalli qilleensaa hamaan akka hin deemne nu dhorke.
ቶም እና ማርያም በጣም ደስተኞች ናቸው።	Tom and Mary are very happy.	Toomii fi Maariyaam baay'ee gammadoodha.
መልእክት ላከችው።	She sent him a message.	Ergaa itti ergite.
የተሻለ እንድትሆን እፈልጋለሁ።	I want you to be better.	Akka ati fooyyoftu nan barbaada.
በዚህ ምግብ ውስጥ ስንት ካሎሪወች አሉ?	How many calories are in this food?	Nyaata kana keessa kaalorii meeqatu jira?
ማልቀስ ችግር የለውም።	It's okay to cry.	Boo'uun homaa miti.
የቀሩትን የቤተሰቡ አባላት መምሰል ይችላል።	He can imitate the rest of his family.	Maatii hafe fakkeessuun ni danda'ama.
ጊዜ እንዳያልፍብን እፈራለሁ።	I'm afraid we're running out of time.	Yeroon akka nu hin dabarre jedheen sodaadha.
ሌላ ኬክ ሊኖረኝ ይችላል።	ERROR: the JSON object must be str, bytes or bytearray, not NoneType.	Keekii biraa qabaachuu nan danda'aa.
ክፍል ስትገባ ኮፍያህን አውልቅ።	Take off your hat when you enter class.	Yeroo daree seentu kophee kee baafadhu.
አዝራሩን ብቻ መጫን አለብወት።	You just have to press the button.	Mallattoo sana dhiibuu qofa qabda.
ፈረንሳይ ከእንግሊዝ በስተደቡብ ትገኛለች።	France is south of England.	Faransaay kibba Ingilaanditti argamti.
ጥሩ ሰው አይደለሁም።	I'm not a good person.	Ani nama gaarii miti.
ፈጠራን የሚያደናቅፍ ኩባንያ ብዙ ለማደግ ተስፋ ማድረግ አይችልም።	A company that stifles innovation cannot hope to grow much.	Dhaabbanni kalaqa ukkaamsu guddina guddaa abdachuu hin danda'u.
የትኛውን ነው የሚመርጡት ቀይ ወይስ ሰማያዊ?	Which do you prefer, red or blue?	Isa kam filatta, isa diimaa moo isa halluu cuquliisa?
ቶም ኮቱን የት እንደሚሰቅል አሰበ።	Tom wondered where to hang his coat.	Toom kootii isaa eessatti akka fannisu yaade.
ልብ ወለድ ለመፃፍ ድንገተኛ ፍላጎት ተሰማው።	He felt a sudden urge to write a novel.	Asoosama barreessuuf fedhiin tasa itti dhaga'ame.
እንድደርስብህ መፍቀድ አትችልም።	You can't let me get to you.	Akka si bira ga'u gochuu hin dandeessu.
ትንሽ የመተማመን ስሜት ይሰማኛል።	I feel a little less confident.	Xiqqoo miirri wal amanuu natti dhagahama.
ለገና ቤት ትሆናለህ።	You will be home for Christmas.	Ayyaana Qillee kabajuuf mana turtaa.
ከእርስወ ጋር ቁርስ መብላት እወዳለሁ።	I like to have breakfast with you.	Si waliin ciree nyaachuun natti tola.
ጥፍሩ በግድግዳው በኩል አለፈ።	The nail went through the wall.	Mismaarri sun dallaa keessa darbe.
ያንን ባናደርግ ምኞቴ ነው።	I wish we didn't do that.	Osoo akkas hin goonu ta'ee natti tola.
ሲስቅህ ማየት እፈልጋለሁ።	I want to see you laugh.	Kolfaa kee arguun barbaada.
ማንም በዚህ ደስተኛ አልነበረም።	No one was happy about that.	Namni kana irratti gammade hin turre.
"ምን ያህል ጋዝ ይፈልጋሉ? ""ሙላ""?"	"How much gas do you need to ""fill up""?"	"Gaazii meeqa barbaadda? ""Guutaa""?"
ይህ ክልል ሙሉ በሙሉ ተለውጧል።	This region has completely changed.	Naannoon kun guutummaatti jijjiirameera.
ቶም በ6፡30 ይነሳል።	Tom gets up at 6:30.	Toom sa'aatii 6:30tti ka'a.
የጠበቅነውን ነገር ማድረግ አልቻለም።	It didn't do what we expected.	Waan nuti eegnu hin hojjenne.
ይህ ታዋቂ አርቲስት ነው።	This is a famous artist.	Kun artistii beekamaadha.
እኔ በመጨረሻው መስመር ነበርኩ።	I was at the finish line.	Ani sarara dhumaa irran ture.
"ቶም ለምን እንድህ አደረገ? ""ይደበድበኛል።""።"	"Why did Tom say ""He beats me.""."	"Toom maaliif akkas godhe? ""Na rukuta.""."
እግር ኳስ መጫወትን አውቃለሁ።	I know how to play football.	Kubbaa miilaa taphachuu nan beeka.
የሚኖሩት ከወንዙ ማዶ ነው።	They live across the river.	Laga gama biraa jiraatu.
ምን እያደረጋችሁ ነበር?	What were you doing?	Isin maal hojjechaa turtan?
መላውን ቤተሰብ ለመመገብ እዚህ በቂ ነው።	There is enough here to feed the whole family.	Asitti maatii guutuu sooruuf gahaadha.
የመጨረሻውን ኩኪ የበላው ማነው?	Who ate the last cookie?	Kukii isa dhumaa eenyutu nyaate?
ይህ ፓርክ በፅጌረዳወቹ ታዋቂ ነው።	This park is famous for its roses.	Paarkiin kun ruuzii isaatiin beekamaadha.
ቀድሞውንም ከቢሮ ወጥታለች።	She has already left the office.	Duraanis waajjira keessaa baatee jirti.
ጓደኛሞች ብቻ ነን።	We are just friends.	Michoota qofa moo.
ይህንን ክፍል ለመሳል ቢያንስ ሶስት ሰአታት ይወስዳል።	It takes at least three hours to paint this part.	Kutaa kana dibuuf yoo xiqqaate sa'aatii sadii fudhata ture.
ቶም መዘግየት አልፈለገም።	Tom didn't want to be late.	Toom harkifachuu hin barbaanne.
ዛሬ ማታ እዚህ ማደር አለብኝ።	I have to spend the night here tonight.	Halkan kana as buluun qaba.
እያንዳንዱ ልጅ የራሱ ክፍል አለው።	Each child has his own room.	Tokkoon tokkoon daa'imaa kutaa mataa isaa qaba.
ያንን ዳግም እንዳላደርግ አስታውሰኝ።	Remind me not to do that again.	Kana booda dabalee akkas akkan hin goone na yaadachiisi.
ስድብን ችላ ለማለት እራሱን ማምጣት አልቻለም ።	He couldn't bring himself to ignore the insult.	Arrabsoo sana bira darbuuf of fiduu hin dandeenye.
እንድያደርግ ተደረገ።	I was made to do it.	Akka godhu godhame.
ቶም እኔ ራሴ እንዳደርግ ነገረኝ።	Tom told me to do it myself.	Toom ofii kootii akkan godhu natti hime.
ምን ለማረጋገጥ እየሞከርክ ነው?	What are you trying to prove?	Maal mirkaneessuuf yaalaa jirta?
ወረቀቱን ወደ ኳስ ሰባበረ።	He crumpled the paper into a ball.	Waraqaa sana ol caccabsee kubbaa ta'e.
ለድርጅታችን ለመስራት የወሰናችሁ ምንድን ነው?	Why did you decide to work for our company?	Dhaabbata keenyaaf hojjechuuf kan murteessitan maaltu ture?
ተነጋገርንበት።	We talked about it.	Haasofneerraa.
ሰወች በየአቅጣጫው ተበተኑ።	People scattered in all directions.	Namoonni kallattii hundaan faffaca'an.
አሁንም በወላጆቿ ላይ ጥገኛ ነች።	She is still dependent on her parents.	Ammallee warra ishee irratti hirkattee jirti.
ለምን ስለ ፖለቲካ ማውራት አትወድም?	Why don't you like to talk about politics?	Maaliif waa'ee siyaasaa dubbachuu hin jaallattu?
እሱ ትንሽ ፈሪ ነው።	He's a bit of a coward.	Xiqqoo sodaatadha.
ጊታር ተስተካክሏል።	Guitar tuned.	Giitaarri sun sirratee jira.
ጥያቄየን በፍጥነት ስለመለሱልኝ አደንቃለሁ።	I appreciate your quick response to our questions.	Gaaffii koo akkas daftee deebii kennuu kee nan dinqisiifadha.
በጣም ጥሩ አባት እንዳልሆንኩ አውቃለሁ።	I know I'm not a very good father.	Abbaa baayyee gaarii akkan hin taane nan beeka.
እዚህ አንድ ሁኔታ አለን።	Here we have a situation.	Asitti haala tokko qabna.
መኪና መከራየትም እፈልጋለሁ።	I also want to rent a car.	Konkolaataa kireeffachuus nan barbaada.
መራመድ እንችላለን።	We can walk.	Miillaan deemuu dandeenya turre.
ያንን ሳይ በጣም ደነገጥኩ።	I was shocked to see that.	Sana yeroon argu baay'een rifadhe.
ድንኳኑን የት መትከል ይፈልጋሉ?	Where do you want to pitch the tent?	Dunkaana eessatti dhaabuu barbaadda?
ገንዘቧን፣ ቤተሰቧንና ጓደኞቿን አጣች።	She lost her money, her family and her friends.	Maallaqa ishee, maatii ishee fi hiriyyoota ishee dhabde.
ዛሬ በቆሻሻ ማጠራቀሚያ ውስጥ መውደቅ ተሰማኝ።	I felt down in the dumps today.	Har'a bakka balfa itti gatamu keessatti kufuun natti dhaga'ama.
ማርያም ችግሯ አለባት።	Mary has a problem.	Maariyaam rakkoo mataa ishee qabdi.
በማእድን ማውጫው ውስጥ በጣም ጨለማ ነበር።	It was very dark in the mine.	bakka Albuuda baasan keessaa baay'ee dukkanaa'aa ture.
ብዙ ማእበል አልነበረም።	There wasn't much of a storm.	Obomboleettii baay'een hin turre.
የተናገረውን አስታውስ።	Remember what he said.	Waan inni jedhe yaada keessa galchaa.
አድስ ምግብ መገኘቱ ከኮከብ ግኝት ይልቅ ለሰው ልጅ የበለጠ ጥቅም አለው።	The discovery of new food is more beneficial to mankind than the discovery of a star.	Nyaata haaraa argachuun urjii argachuu caalaa sanyii namaatiif waan guddaa hojjeta.
ቶም ማርያምን ይቅርታ የመጠየቅ ሃሳብ የለውም።	Tom has no intention of apologizing to Mary.	Toom Maariyaamin dhiifama gaafachuuf yaada hin qabu.
ሆካይዶ በጃፓን ሰሜናዊ ክፍል ውስጥ ይገኛል።	Hokkaido is located in the northern part of Japan.	Hokkaidoon kutaa kaaba Jaappaan keessatti argamti.
እዚያ ያሉትን ሁሉንም አውቀዋለሁ።	I know everyone there.	Namoota achi jiran hunda nan beeka ture.
ገና ልጅ ነህ።	You are still a child.	Ati mucaa dha.
ወደ ሰሜን እየሄድን ነው።	We are heading north.	Gara kaabaatti deemaa jirra.
አድሱ መፅሄት መቸ ይወጣል።	Adsu magazine will be published soon.	Barruun haaraan kun yoom baʼa.
ይህ ልብስስ?	What about this dress?	Uffanni kun hoo?
ጦርነት ክፉ ነው።	War is evil.	Waraanni hamaadha.
ትልቅ ፍንዳታ ነበር።	It was a big blast.	Dhohinsa guddaa ture.
ስራ ላይ እንዳዋሉህ አይቻለሁ።	I see they put you to work.	Hojiitti si galchan nan arga.
ይህ ዳቦ እንደ ካርቶን ጣእም አለው።	This bread tastes like cardboard.	Daabboon kun akka kaartoonii dhandhama.
የዚህን ጥያቄ መልስ ባውቅ እመኛለሁ።	I wish I knew the answer to this question.	Deebii gaaffii kanaa osoon beekee natti tola.
በመጀመሪያ ደረጃ ስለምንበላውና ስለምንጠጣው ነገር መጠንቀቅ አለብን።	First of all, we should be careful about what we eat and drink.	Jalqaba irratti waan nyaannu fi dhugnu irratti of eeggannoo gochuu qabna.
በቤትወ ሁለተኛ ፎቅ ላይ ስንት ክፍሎች አሉ?	How many rooms are there on the second floor of your house?	Mana keessan sadarkaa lammaffaa irratti kutaa meeqatu jira?
የውስጥ ሱሪ ውስጥ ነኝ።	I'm in my underwear.	Uffata jalaa uffadheen jira.
ጠቃሚ ነገሮችን መፈልሰፍ እወዳለሁ።	I like to invent useful things.	Wantoota faayidaa qaban kalaquu nan jaalladha.
የመኪናወ ቁልፎች የት አሉ?	Where are the car keys?	Furtuu konkolaataa eessa jira?
ዝም ብየ በሆነ ነገር ላይ ጭንቅላቴን መታሁ።	I just hit my head on something.	Calliseen waan tokkorratti mataa of rukute.
በቅርቡ ዝናብ የሚዘንብ ይመስላል።	Looks like it's going to rain soon.	Yeroo dhiyootti roobni waan roobu fakkaata.
ይህን አልፈልግም።	I don't want this.	Kana hin barbaadu.
አንዳንዶች የእሱን ታሪክ አመኑ, እና ሌሎች ግን አያምኑም።	Some believed his story, and others did not.	Gariin seenaa isaa kan amanan, kaan immoo hin amanne.
ተራ በተራ ከተናገርኩ ይቅርታ።	Sorry if I spoke out of turn.	Dabareen ala yoo dubbadhe dhiifama.
አስቂኝ አልነበረም፣ ግን ሳቅሁ።	It wasn't funny, but I laughed.	Waan nama kolfisiisu hin turre garuu kolfe.
ለመጀመር ሁላችሁንም ላመሰግናችሁ እፈልጋለሁ።	To begin with, I want to thank you all.	Jalqabaaf, hunda keessan galateeffachuu barbaada.
የአየር ሁኔታ ትንበያው የተሳሳተ ነበር።	The weather forecast was wrong.	Raagaan haala qilleensaa dogoggora ture.
እንደገና አንብቤዋለሁ።	I read it again.	Ammas dubbise.
የመጨረሻውን ትንፋሽ ሰጠ።	He breathed his last.	Hafuura dhumaa baafate.
ቶም ለገና ማርያም ወደ ቦስተን እንድትመጣ ፈለገ።	Tom wants Mary to come to Boston for Christmas.	Toom Maariyam ayyaana Qillee irratti gara Booston akka dhuftu barbaade.
የአውሮፕላኑ አደጋ ባለፈው ሳምንት ብቻ ነበር።	The plane crash was just last week.	Balaan xiyyaarichaa torbee darbe qofa ture.
ለመግለፅ ይከብዳል።	It's hard to describe.	Ibsuun nama rakkisa.
ይህ ሁሉ ቢያልቅ እመኛለሁ።	I wish this would all end.	Kun hundi osoo xumuramee natti tola.
ድምፁ በተግባር የማይታይ ነበር።	The sound was practically invisible.	Sagaleen sun qabatamaan kan hin mul'anne ture.
ህልም አለኝ።	i have a dream.	Abjuun qaba.
ቶም ዛሬ ይደርሳል ተብሎ ይጠበቃል።	Tom is expected to arrive today.	Toom har'a ni gaha jedhameera eegama.
ቶም ምን ለማድረግ እንዳሰበ ተናግሮ አያውቅም።	ERROR: [Errno 101] Network is unreachable.	Toom waan hojjechuuf karoorfate gonkumaa dubbatee hin beeku.
ማንም ስለእኛ አያስብም።	No one cares about us.	Namni nuuf yaadu hin jiru.
የተከበርኩ ነጋደ ነኝ።	I am a respected businessman.	Ani daldalaa kabajamaa dha.
ባቡሩ ዛሬ አስር ደቂቃ ቀርቷል።	The train is ten minutes late today.	Baaburri har'a daqiiqaa kudhaniin duubatti hafeera.
ጊዜ ማባከኑን እናቁም።	Let's stop wasting time.	Yeroo qisaasessuu haa dhiifnu.
ፀሃፊ መሆን አለብህ።	You must be a writer.	Barreessaa ta'uu qabda.
እንደገና ማድረግ አለብኝ።	I have to do it again.	Irra deebi'ee gochuun qaba.
በስራወ ውስጥ ስኬትን እመኝልወታለሁ።	I wish you success in your work.	Hojii keessan irratti milkaa'ina isiniif hawwa.
ትንሽ እገዛ እፈልጋለሁ።	I need a little help.	Gargaarsa xiqqoon barbaada.
ለዚህ ሶፍትዌር የተጠቃሚ መመሪያን ፃፍኩ።	I wrote a user manual for this software.	Mosaajii kanaaf qajeelfama fayyadamaa barreesseen ture.
መጀመሪያ ብትደውልልኝ እመኛለሁ።	I wish you would call me first.	Osoo dursitee bilbiltee natti tola.
እንደዚያ ትወዳለህ።	You like it that way.	Akkas ni jaallattaa.
ይህን ርእሰ ጉዳይ በደንብ አውቀዋለሁ።	I know this subject very well.	Dhimma kana sirritti nan beeka.
ለምን ክፍልህ ገብተህ አትጫወትም።	Why don't you go to your room and play.	Maaliif kutaa seentee hin taphattu.
እንደገና ፃፍኩት።	I wrote it again.	Irra deebi'een barreesse.
ይህንን መርህ በህይወት ውስጥ በሁሉም ነገር ላይ ይተገበራል።	This principle applies to everything in life.	Qajeelfamni kun jireenya keessatti waan hundaaf ni hojjeta.
ወደ ቡይ እንዋኝ።	Let's swim to the buoy.	Mee gara buoy sanaatti haa daaknu.
መደነስ እፈልጋለሁ።	I want to dance.	Shubbisuu nan barbaada.
እባክወ እነዚህን ወረቀቶች በጥንቃቄ ይመልከቱ።	Please review these papers carefully.	Maaloo waraqaawwan kana sirriitti ilaalaa.
ለአሁን ያ ብቻ ነው ወገኖች።	That's all for now folks.	Ammaaf kana qofa yaa sabaa.
ስለባልደረቦቿ አንዳንድ አዋራጅ አስተያየቶችን ተናገረች።	She made some disparaging comments about her colleagues.	Waa'ee namoota ishee wajjin hojjetan yaada xiqqeessuu tokko tokko dubbatteetti.
ብዙ ጊዜ የቶም መኪና ትበድራለህ።	You often borrow Tom's car.	Yeroo baayʼee konkolaataa Toomii ni liqeessitaa.
እድለኛ ነህ።	You are lucky.	Carraa qabeessadha ati.
ልጇን በፍቅር ተንከባከበችው።	She took care of her son with love.	Mucaa ishee jaalalaan hammaatte.
ስብሰባው እስከ ነገ ተራዝሟል።	The meeting has been adjourned till tomorrow.	Walgahiin kun hanga guyyaa boruutti dheereffamee jira.
አማራጭ እቅድ አቀረበ።	He proposed an alternative plan.	Karoora filannoo biraa dhiheesse.
ኢንደስትሪላይዜሽን በጃፓን ኢኮኖሚ እድገት ላይ ትልቅ ተፅእኖ ነበረው።	Industrialization had a major impact on Japan's economic growth.	Industirii guddina dinagdee Jaappaan irratti dhiibbaa guddaa qaba ture.
ውሸት መናገሩን ቀጠለ።	He continued to lie.	Soba dubbachuu itti fufe.
እሷ መምጣት ትእግስት አጥቸ ነበር።	He was impatient for her to come.	Dhufaatii isheetiif obsa dhabe.
እርግጠኛ ነኝ ይህንን የሰበርኩት እኔ ሳልሆን ነው።	I'm pretty sure I didn't break this.	Kana kan cabse ana akka hin taane mirkanaa'adha.
ቤቱ ዝግጁ ነው።	The house is ready.	Manni qophiidhaa.
