Amharic,Oromo,English
ማሸነፋችንን ስገልፅ ደስተኛ ነኝ።,Akka injifannedubbachuu kootti nan gammada.,I am happy to announce that we have won.
እርስ በርሳችን መጣላት የለብንም።,Walii walii keenya jibbuu hin qabnu.,We should not fight each other.
የሽርሽር ጠረጴዛ መገንባት በጣም ከባድ ነው ብየ አስቤ አላውቅም።,Minjaala kruuzii ijaaruun akkas ulfaataa ta'a jedhee yaadee hin beeku.,I never thought building a picnic table was so difficult.
ዛሬ ማታ እዚህ መቆየት እችላለሁ።,Halkan kana as turuu danda'aa.,I can stay here tonight.
ሄዷል።,Deemera.,He's gone.
ቶም ጥሩ ስሜት መፍጠር እንደሚፈልግ አውቃለሁ።,Toom yaada gaarii uumuu akka barbaadu nan beeka.,I know Tom wants to make a good impression.
ልቸኩልህ አልፈልግም፣ ግን የሚቀጥለውን አውቶቡስ ለመያዝ እንሞክር።,"Si ariifachuu hin barbaadu, garuu Atobisii itti aanu qabachuuf haa yaalluu.","I don't want to rush you, but let's try to catch the next bus."
የእኔ ብስክሌት ጠፍጣፋ አለው።,Biskileetiin koo battee qaba.,My bike has a flat.
ቀጭን ነኝ።,Ani qalladha.,I am thin.
ጥያቄወችን የሚጠይቅበትን መንገድ አውቀዋለሁ።,Akkaata itti gaaffii gaafatan nan beeka.,I know the way he asks questions.
እዚህ ባጨስ ይከፋሃል።,Yoon asitti tamboo xuuxu si mufachiisaa.,"If I smoke here, you will hate it."
የቶም ሃሳብ ነበር።,Yaada Toom ture.,It was Tom's idea.
መቆምህን አቁም እና የነገርኩህን አድርግ።,Dhaabachuu dhiisii waanan sitti hime hojjedhu.,Stop standing there and do what I tell you.
በውድድሩ ላይ መሳተፍ ይፈልጋል።,Dorgommii kana irratti hirmaachuu barbaada.,He wants to participate in the competition.
ብዙ እድገት አላደረግሁም።,Guddina guddaa hin agarsiifne.,I haven't made much progress.
የት ነው ያስቀመጥኩት?,Eessan kaa'e?,Where did I put it?
ቶም እየተዋጋ ነው አይደል?,Toom lolaa jira mitii?,"Tom is fighting, isn't he?"
ክብደቱን ከአንድ እግሩ ወደ ሌላው ይቀይር ነበር።,Ulfaatina isaa miila tokko irraa gara isa kaaniitti jijjiiruu itti fufe.,He would shift his weight from one leg to the other.
በቶም ላይ እምነት አጣሁ።,Toomii irratti amantaa dhabeera.,I lost faith in Tom.
አንዳንድ ጓደኞቸ እንግሊዝኛ በደንብ መናገር ይችላሉ።,Hiriyoonni koo tokko tokko Afaan Ingiliffaa akka gaariitti dubbachuu dandaʼu.,Some friends can speak English very well.
ስንት ሰአት መተኛት ያስፈልግወታል?,Hirriba sa'aatii meeqa si barbaachisa?,How many hours do you need to sleep?
አንተ የተረፈ ሰው ነህ።,Ati nama lubbuun hafedha.,You are a survivor.
የማውቀውን ብቻ ነው።,Waan ani beeku qofa.,That's all I know.
ከባድ ጊዜ ሰጠኝ።,Yeroo ulfaataa naaf kenne.,He gave me a hard time.
ፈረንሳይኛን ማሻሻል እፈልጋለሁ።,Afaan Faransaayii koo fooyyessuu nan barbaada.,I want to improve my French.
ምን አይነት የቤት እቃወችን ይፈልጋሉ?,Meeshaalee manaa akkamii barbaaddu?,What kind of home appliances do you want?
ማድረግ የምፈልገውን አውቃለሁ።,Waanan gochuu barbaadu nan beeka.,I know what I want to do.
ለዚህ በጣም አርጅቻለሁ።,Kanaaf baay'ee dulloomeera.,I'm too old for this.
ይህን ቶሎ ማሰብ ነበረብኝ።,Silaa kana dafee yaaduun qaba ture.,I should have thought of this sooner.
እኔ የማስበውን ማወቅ ትፈልጋለህ።,Yaada koo beekuu barbaaddaa.,You want to know what I think.
ይህ ወንድሜ ቶም ነው።,Kun obboleessa koo Toomidha.,This is my brother Tom.
ወደ መቀመጫህ ተመለስ።,Gara teessoo keetti deebi'i.,Go back to your seat.
ከዚህ የበለጠ ይገባሃል።,Kana caalaa waan baay'een siif mala.,You deserve more than this.
በማለዳ ተነሳ፣ እና በጊዜ ትደርሳለህ።,"Dafii ka'I, yeroon geessaa.","Get up early, and you'll be there on time."
አንድ አለኝ።,Tokko qaba.,I have one.
የቤት ስራየን ሰርቻለሁ።,Hojii manaa koo hojjedheera.,I have done our homework.
እንኳን ደህና መጣህ።,Baga nagaan dhufte.,Welcome.
ቶም በማርያም እርዳታ መታመን አይችልም።,Toom gargaarsa Maariyaam amanuu hin dandeenye.,Tom cannot count on Mary's help.
የሁለቱ ሃገራት ጦርነት በሁለቱም ወገኖች ላይ ትልቅ ኪሳራ ደረሰበት።,Waraanni biyyoota lamaanii gama lachuu kasaaraa guddaa geessiseera.,The war between the two countries resulted in heavy losses on both sides.
እዚያ እንደደረስን እነግራችኋለሁ።,Yeroo achi geenyu isinitti hima.,I will tell you when we get there.
ያንች እድሜ ሳለሁ ትዳር መስርቸ ነበር።,Yeroon umuriin koo umurii keetii gaa'ela godhadheen ture.,I was married when I was that age.
ቶም በግልፅ ግራ ተጋብቶ ነበር።,Toom akka burjaaja'e beekamaadha.,Tom was clearly confused.
ያ በእርግጠኝነት ሊረጋገጥ ይችላል።,Sana haala gaariin mirkaneessuun ni danda'ama.,That can certainly be proven.
አላደረገውም ሲል አስተባብሏል።,Innis akka hin raawwanne haaleera.,He denied that he did.
ቶም እዚህ ምን እያደረገ ነው?,Toom asitti maal hojjechaa jira?,What is Tom doing here?
ቶም ስራ የሚበዛበት ሰው እንደነበረ አውቃለሁ።,Toom nama hojiin itti baay'atu akka ta'e nan beeka ture.,I know Tom was a busy man.
በትክክል ለመናገር ምንም አልወደዳትም ነገር ግን ምንም አልተናገረችም።,"Sirritti dubbachuuf homaa ishee hin jaallanne, garuu homaa hin dubbanne.","To be honest, she didn't like it, but she didn't say anything."
ቶም ማርያም የበጋ እረፍቷን የት እንደምታሳልፍ አያውቅም።,Toom Maariyam boqonnaa gannaa eessatti akka dabarsuu barbaaddu hin beeku.,Tom doesn't know where Mary spends her summer vacation.
ወደዚህ ጎትት።,Asitti harkisi.,Drag it here.
እዚህ ተማሪ ነወት።,Asitti barachaa jirtaa.,He is a student here.
ከቻላችሁ ያዟቸው።,Yoo dandeesse qabadhu.,Grab them if you can.
ምን እንዳደረክ ማወቅ አልፈልግም።,Waan goote beekuu hin barbaadu.,I don't want to know what you did.
ወደ ጦርነት ይሄዳሉ።,Gara Waraana deemu.,They go to war.
ከሴት ልጆች አንዷ ቀረች።,Shamarran keessaa tokko hafte.,One of the girls stayed.
ለማንበብ ተቸግሬአለሁ።,Dubbisuuf rakkadheera.,I have trouble reading.
ሁሉም እንግዶች ወደ ቤት ሄዱ።,Keessummoonni hundi gara manaatti galaniiru.,All the guests went home.
በክፍሌ ውስጥ ያሉትን የቤት እቃወች አቀማመጥ ቀይሬያለሁ።,Meeshaalee mana koo keessa jiran akkaata teessuma isaanii jijjiraan jira.,I changed the position of the furniture in my room.
ጥሩ የሚያሰማውን።,Maaltu miira gaarii sitti dhagahama.,What makes you feel good.
ዋጋወች ከጊዜ ወደ ጊዜ እየጨመረ መጥተዋል።,Gatiin yeroodha gara yerootti dabalaa dhufeera.,Prices have been increasing steadily.
በዚህ ርእስ ላይ ብዙ ፅሁፎችን ፅፌያለሁ።,Mata duree kana irratti waraqaawwan hedduu barreesseen jira.,I have written many articles on this topic.
እሱ ከስልሳ በላይ መሆን አለበት።,Umuriin isaa jaatamaa ol ta'uu qaba.,He must be over sixty.
ትልቅ ሁልጊዜ የተሻለ አይደለም።,Guddaan yeroo hunda fooyya'aa miti.,Bigger is not always better.
ጠመንጃወቹ የት አሉ?,Qawween eessa jira?,Where are the guns?
ገና ለገና ቦስተን ልንደርስ እንደምንችል አላውቅም።,Ayyaana Qillee irratti gara Boston gahuu akka dandeenyu hin beeku.,I don't know if we can make it to Boston for Christmas.
ይህ ሁሉም ነገር ነው።,Kun waan hundadhaa.,This is everything.
ማንንም አልሳምኩም።,Nama hin dhunganne.,I didn't kiss anyone.
ገንዘቡን ነገ እሰጥሃለሁ።,Boru qarshii siif kenna.,I will give you the money tomorrow.
ምን ማድረግ እንደምችል አያለሁ ፣ ግን ምንም ቃል የለም ።,"Waanan gochuu danda'u nan ilaala, garuu homaa sagaleen hin jiru.","I'll see what I can do, but no word."
አስተዋይ ሁን።,Of eeggannoo qabaadhu.,Be sensible.
ረጅሙ ልጅ ነው።,Inni mucaa dheeraa dha.,He is the tallest boy.
ቶም ምንም ቃል አልተናገረም።,Toom jecha tokkollee hin dubbanne.,Tom didn't say a word.
ቀድመህ ቤት ነህ አይደል?,Daftee mana seente mitii?,"You're home already, aren't you?"
ተላልፈህ ታውቃለህ።,Gantee beektaa.,You know you've been betrayed.
ይህን ይወዳሉ።,Kana ni jaallattuu.,They love this.
መዶሻውን ስጠኝ ፣ አይደል?,"Burrusa sana naaf kenni, ni kennitaa?","Give me the hammer, won't you?"
ጥቂት ጥያቄወችን ልጠይቅህ እፈልጋለሁ።,Gaaffii muraasa si gaafachuun barbaada.,I would like to ask you a few questions.
እኔ ብዙውን ጊዜ እውነት ነኝ።,Yeroo baayyee ifatti dubbadha.,I'm usually honest.
ፋሽን ብቻ ነው።,Faashinii qofa.,It's just a fad.
ይህ ፍንጭ ነበር።,Sun akeekkachiisa turee.,This was a clue.
ቶም ጊታርን ከማውቀው ከማንኛውም ሰው በተሻለ ይጫወታል።,Toom nama ani beeku hunda caalaa gitaara taphata.,Tom plays the guitar better than anyone I know.
ማርያምን እንድታገባኝ ልጠይቃት ነው።,Maariyaam akka natti heerumtu gaafachuuf deema.,I am going to ask Mary to marry me.
እንድትነዳ አልፈቅድልህም።,Konkolaachisaa siif hin hayyamu.,I won't let you drive.
ተቀማጭ ገንዘብ ያስፈልግወታል።,Kuufama si barbaachisa.,A deposit is required.
ይህ ጃኬት ትንሽ በጣም ትልቅ ነው።,Jaakkeettiin kun xiqqoo guddaadha.,This jacket is a little too big.
ቶም አባል ነው።,Toom miseensadhaa.,Tom is a member.
መስኮቱን ዝጋ።,Foddaa cufi.,Close the window.
ሌላ እቅድ አውጥተሃል።,Karoora biraa baafattaniittu.,You made another plan.
ሰይፉ ወደ ልቡ ገባ።,Qilleensi gara onneesa seene.,The sword went into his heart.
ሁላችንም ደህና ነን ብየ አስባለሁ።,Hundi keenya nagaa jirra jedheen yaada.,I think we are all fine.
ቶምን መጠየቅ ያለብህ ይመስለኛል።,Toom gaafachuu qabda jedheen yaada.,I think you should ask Tom.
ልጀ አስተማሪ ሊሆን ነው።,Ilmi koo barsiisaa ta'uuf deema.,My son is going to be a teacher.
እህቴ ዶክተር አገባች።,Obboleettiin koo doktoratti heerumte.,My sister married a doctor.
ሁሌም ተመሳሳይ ነገር አደርጋለሁ።,Yeroo hundumaa waan wal fakkaatan hojjedha.,I always do the same thing.
መንሳፈፍ ቀላል ነው።,Lola'uun salphaadha.,Floating is easy.
ያ ምንም ትርጉም የለሽ ነው።,Sun homaa hiika hin qabu.,That makes no sense.
የፊደል አፃፃፉ ትክክል አይደለም።,Qubeen sun sirrii miti.,The spelling is incorrect.
ያ ደግሞ ነገሮችን ያባብሰዋል።,Sun ammoo wantoota hammeessa.,And that makes things worse.
ይህን ያህል ቀላል ሊሆን ይችላል።,Akkas salphaa taʼuu dandaʼaa.,It can be that simple.
የሚመጣበት ጥሩ እድል አለ።,Carraan inni dhufuu isaa guddaadha.,There's a good chance it will.
አስደሳች ታሪኮችን በመስራት ጎበዝ ነች።,Seenaa hawwataa tolchuu irratti dandeettii qabdi.,She is good at making interesting stories.
ቶም ማርያምን ትወደው እንደሆነ ጠየቀቻት።,Toom Maariyaam akka isa jaallattu gaafate.,Tom asked Mary if she loved him.
ወላጆችህ አልመጡም እንደ።,Warri kee hin dhufne mitii.,Like your parents didn't come.
ታመምኛለህ።,Na dhukkubsa.,You make me sick.
ቀን እተኛለሁ እና ማታ እሰራለሁ።,Guyyaa rafee halkan hojjedha.,I sleep during the day and work at night.
ስሜቱን አደንቃለሁ።,Miira sana nan dinqisiifadha.,I appreciate the sentiment.
ምናልባት ቶም መሄድ ያልቻለው ምንም ገንዘብ ስለሌለው ሊሆን ይችላል።,Tarii sababni Toom deemuu hin dandeenyeef maallaqa waan hin qabneef ta'uu danda'a.,Maybe Tom couldn't go because he didn't have any money.
የምሽት ጉጉት ነኝ።,Ani halkan Hurunguuti.,I'm a night owl.
ጥይቱ በደም ወሳጅ ቧንቧ በኩል ቆረጠ።,Rasaasni kun ujummoo dhiigaa tokko keessaa kute.,The bullet cut through an artery.
ዘጠኝ አበባወችን ገዛሁ።,Daraaraa sagal bitadheera.,I bought nine flowers.
ቶም በመቆለፊያ ውስጥ ያለውን ቁልፍ ረሳው።,Toom furtuu qulfii keessa jiru dagate.,Tom forgot the key in the lock.
ስካንኮች ቁንጫወችን ይበላሉ።,Skunks qamalee nyaatu.,Skunks eat fleas.
የቶም ስም በሳጥኑ ላይ ነበር።,Maqaan Toomii saanduqa sanarra ture.,Tom's name was on the box.
ዛሬ ነፃ ነህ።,Har'a bilisoomtee.,Today you are free.
ቤተሰብወን ይንከባከቡ።,Maatii kee kunuunsi.,Take care of your family.
"የመዳን ካምፕ እንደት ነበር? "" ጠላሁት ሁለት ቀን ብቻ ነው የቆየሁት።""።","Mooraa lubbuun jiraachuu akkam ture? ""Jibeen ture. Guyyaa lama qofa ture."".","Survival camp was like, ""I hated it. I only stayed two days.""."
ባለጌ ስለሆንኩህ አዝናለሁ።,Dhiifama gara jabinaan sitti agarsiisef.,I'm sorry for being rude to you.
ሲዋኝ ተመለከተችው።,Isheenis yeroo inni dambali'u ilaalte.,She watched him swim.
እንደ መምህርም እንደ ሰውም ይከበር ነበር።,Akka barsiisaattis ta'e akka namaatti kabaja guddaa qaba ture.,He was respected as a teacher and as a person.
ወደ መኝታ መሄድ አለብህ።,Ciisuu qabda.,You should go to bed.
ማንም አልሰማውም።,Namni dhaggeeffate hin jiru.,No one heard him.
ምን እየሰራህ ነው።,Maal hojjechaa jirta.,what are you doing.
ቶም እዚያ ሰርቷል።,Toom achitti hojjeta ture.,Tom worked there.
አድስ ልብስ እሰራልሃለሁ።,Uffannaa haaraa isiniif nan tolcha.,I will make you new clothes.
ከባድ ስህተት ሰርቷል።,Dogoggora guddaa hojjete.,He made a grave mistake.
እሱ በእርግጥ ወደ እኔ መጣ።,Dhuguma na bira ga'e.,He really came to me.
በማንኛውም ደቂቃ ሊዘንብ ይችላል።,Daqiiqaa kamiyyuu roobni roobuu danda'a.,It could rain any minute.
ለምንድነው መዋቢያወች የማለቂያ ጊዜ ያላቸው።,Meeshaaleen miidhaginaa maaliif guyyaa dhumaa qabu.,ERROR: The read operation timed out.
አሁን የትኛውን ጨዋታ መጫወት ይፈልጋሉ?,Amma tapha akkamii taphachuu barbaadda?,Which game do you want to play now?
በእውነት አንድ ሰው መምታት አለብኝ።,Dhuguma nama tokko rukutuun qaba.,I really need to punch someone.
አንዱ ቀይ ሲሆን ሌላኛው ነጭ ነው።,"Tokko diimaa, inni kaan immoo adii dha.",One is red and the other is white.
ስለ እሱ በጣም የተረጋጋ ይመስላል።,Waa'ee kanaa baay'ee tasgabbaa'aa fakkaatta.,He seemed very calm about it.
ትዳር ሎተሪ ነው።,Gaa'elli lootarii dha.,Marriage is a lottery.
ይህ ጠረጴዛ ጥሩ ነው።,Deeskiin kun gaarii dha.,ERROR: The read operation timed out.
ቶም የት ማቆም እንዳለብህ ነግሮሃል።,Toom bakka dhaabuu qabdu sitti himeeraa.,Tom told you where to stop.
እየሰማሀኝ ነው።,Na dhaggeeffachaa jirtaa.,You are listening to me.
ያ ሰውየ ይገርማል።,Gurbaan sun waan ajaa'ibaati.,That man is amazing.
ቶም ቦስተን እያለ በየቀኑ ማለት ይቻላል ይደውልልኝ ነበር።,Toom yeroo Booston ture guyyaa hunda jechuun ni danda'ama naaf bilbile.,Tom called me almost every day when he was in Boston.
መጨረሻው ዘደውን ያፀድቃል።,Xumurri mala sanaaf sababa ta'aa.,The end justifies the means.
ቶም ስለወደፊቱ ይጨነቃል።,Toom waaʼee egeree yaaddoo guddaa qaba.,Tom worries about the future.
እባካችሁ ደንቡን አብራሩልኝ።,Maaloo seera naaf ibsaa.,Please explain the rule to me.
እኛ እየረከብን ነው።,Nuti fudhachaa jirra.,We are taking over.
እርግጠኛ ነኝ ይህ ሁሉ አለመግባባት ነው።,Kun hundi wal hubachuu dadhabuudha.,"ERROR: the JSON object must be str, bytes or bytearray, not NoneType."
እሷም እንደ አንድ ሃሳብ ፣ አንዳንድ ግብይት ልታደርግ እንደሆነ አክላለች።,Itti dabaluudhaanis akka yaadaatti bittaa tokko tokko gochuuf akka jirtu dubbatteetti.,"ERROR: the JSON object must be str, bytes or bytearray, not NoneType."
አንዳንድ አሜሪካውያን የኮሚኒስት ፓርቲ አባል ሆነዋል።,Lammiileen Ameerikaa tokko tokko Paartii Koominiistiitti makaman.,Some Americans joined the Communist Party.
ጥረትህን አደንቃለሁ።,Carraaqqii keessan nan dinqisiifadha.,ERROR: The read operation timed out.
አሁንም በህይወት ነን።,Ammas lubbuun jirra.,We are still alive.
ቶም እና ማርያም ቬጀቴሪያኖች ናቸው።,Toomii fi Maariyaam vegetarian dha.,Tom and Mary are vegetarians.
ከውድድሩ ውጭ ሆኗል።,Dorgommii kanarraa ari'ameera.,He is out of the competition.
ሞቃት ነበርክ አይደል?,Ho'aa turte mitii?,"You were hot, weren't you?"
ሁለቱም ቶም እና ማርያም ተባረሩ።,Toomii fi Maariyaam lamaan isaanii iyyuu hojiirraa ariʼaman.,Both Tom and Mary were fired.
ወላጆቹ ይወዱኝ ነበር።,Warri isaa na jaallatu turan.,His parents loved me.
ለሁሉም የሚሆን በቂ ቦታ የለም።,Bakka nama hundaa gahu miti.,There isn't enough room for everyone.
ቶም ዛሬ ማታ ሊጎበኘኝ ነው።,Toom galgala kana na daawwachuuf jira.,Tom is going to visit me tonight.
ቶም በድንገት ሳንቲም ዋጠ።,Toom akka tasaa saantima tokko liqimse.,Tom accidentally swallowed a coin.
ሲያጨሱ ኖረዋል።,Tamboo xuuxaa turtaniittuu.,ERROR: The read operation timed out.
ድመቷን ከቦርሳው ውስጥ እንዳትወጣ።,Adurretti boorsaa keessaa akka hin baafne.,Don't let the cat out of the bag.
በረዶ ይሆናል ወይ ብየ አስባለሁ።,Cabbii ta'aa laata jedhee yaadera.,I wonder if it will snow.
በሶስት አመት ይበልጠኛል።,Waggaa sadiin caala.,He is three years older than me.
ይህን በር መቆለፍ አልችልም።,Balbala kana cufuu hin danda'u.,I can't lock this door.
ንግግራችንን ቀዳሁ።,Haasaa keenya waraabe.,ERROR: The read operation timed out.
ጥቂት ጥያቄወችን መጠየቅ አለብኝ።,Gaaffii muraasa gaafachuun qaba.,I have to ask a few questions.
እንደት ሚስጥር መጠበቅ እንዳለብህ ታውቃለህ።,Akkamitti iccitii akka qabattu beektaa.,ERROR: The read operation timed out.
መጥፎ የአየር ሁኔታ እንዳንሄድ ከለከለን።,Haalli qilleensaa hamaan akka hin deemne nu dhorke.,Bad weather prevented us from going.
ቶም እና ማርያም በጣም ደስተኞች ናቸው።,Toomii fi Maariyaam baay'ee gammadoodha.,Tom and Mary are very happy.
መልእክት ላከችው።,Ergaa itti ergite.,She sent him a message.
የተሻለ እንድትሆን እፈልጋለሁ።,Akka ati fooyyoftu nan barbaada.,I want you to be better.
በዚህ ምግብ ውስጥ ስንት ካሎሪወች አሉ?,Nyaata kana keessa kaalorii meeqatu jira?,How many calories are in this food?
ማልቀስ ችግር የለውም።,Boo'uun homaa miti.,It's okay to cry.
የቀሩትን የቤተሰቡ አባላት መምሰል ይችላል።,Maatii hafe fakkeessuun ni danda'ama.,He can imitate the rest of his family.
ጊዜ እንዳያልፍብን እፈራለሁ።,Yeroon akka nu hin dabarre jedheen sodaadha.,I'm afraid we're running out of time.
ሌላ ኬክ ሊኖረኝ ይችላል።,Keekii biraa qabaachuu nan danda'aa.,"ERROR: the JSON object must be str, bytes or bytearray, not NoneType."
ክፍል ስትገባ ኮፍያህን አውልቅ።,Yeroo daree seentu kophee kee baafadhu.,Take off your hat when you enter class.
አዝራሩን ብቻ መጫን አለብወት።,Mallattoo sana dhiibuu qofa qabda.,You just have to press the button.
ፈረንሳይ ከእንግሊዝ በስተደቡብ ትገኛለች።,Faransaay kibba Ingilaanditti argamti.,France is south of England.
ጥሩ ሰው አይደለሁም።,Ani nama gaarii miti.,I'm not a good person.
ፈጠራን የሚያደናቅፍ ኩባንያ ብዙ ለማደግ ተስፋ ማድረግ አይችልም።,Dhaabbanni kalaqa ukkaamsu guddina guddaa abdachuu hin danda'u.,A company that stifles innovation cannot hope to grow much.
የትኛውን ነው የሚመርጡት ቀይ ወይስ ሰማያዊ?,"Isa kam filatta, isa diimaa moo isa halluu cuquliisa?","Which do you prefer, red or blue?"
ቶም ኮቱን የት እንደሚሰቅል አሰበ።,Toom kootii isaa eessatti akka fannisu yaade.,Tom wondered where to hang his coat.
ልብ ወለድ ለመፃፍ ድንገተኛ ፍላጎት ተሰማው።,Asoosama barreessuuf fedhiin tasa itti dhaga'ame.,He felt a sudden urge to write a novel.
እንድደርስብህ መፍቀድ አትችልም።,Akka si bira ga'u gochuu hin dandeessu.,You can't let me get to you.
ትንሽ የመተማመን ስሜት ይሰማኛል።,Xiqqoo miirri wal amanuu natti dhagahama.,I feel a little less confident.
ለገና ቤት ትሆናለህ።,Ayyaana Qillee kabajuuf mana turtaa.,You will be home for Christmas.
ከእርስወ ጋር ቁርስ መብላት እወዳለሁ።,Si waliin ciree nyaachuun natti tola.,I like to have breakfast with you.
ጥፍሩ በግድግዳው በኩል አለፈ።,Mismaarri sun dallaa keessa darbe.,The nail went through the wall.
ያንን ባናደርግ ምኞቴ ነው።,Osoo akkas hin goonu ta'ee natti tola.,I wish we didn't do that.
ሲስቅህ ማየት እፈልጋለሁ።,Kolfaa kee arguun barbaada.,I want to see you laugh.
ማንም በዚህ ደስተኛ አልነበረም።,Namni kana irratti gammade hin turre.,No one was happy about that.
"ምን ያህል ጋዝ ይፈልጋሉ? ""ሙላ""?","Gaazii meeqa barbaadda? ""Guutaa""?","How much gas do you need to ""fill up""?"
ይህ ክልል ሙሉ በሙሉ ተለውጧል።,Naannoon kun guutummaatti jijjiirameera.,This region has completely changed.
ቶም በ6፡30 ይነሳል።,Toom sa'aatii 6:30tti ka'a.,Tom gets up at 6:30.
የጠበቅነውን ነገር ማድረግ አልቻለም።,Waan nuti eegnu hin hojjenne.,It didn't do what we expected.
ይህ ታዋቂ አርቲስት ነው።,Kun artistii beekamaadha.,This is a famous artist.
እኔ በመጨረሻው መስመር ነበርኩ።,Ani sarara dhumaa irran ture.,I was at the finish line.
"ቶም ለምን እንድህ አደረገ? ""ይደበድበኛል።""።","Toom maaliif akkas godhe? ""Na rukuta."".","Why did Tom say ""He beats me.""."
እግር ኳስ መጫወትን አውቃለሁ።,Kubbaa miilaa taphachuu nan beeka.,I know how to play football.
የሚኖሩት ከወንዙ ማዶ ነው።,Laga gama biraa jiraatu.,They live across the river.
ምን እያደረጋችሁ ነበር?,Isin maal hojjechaa turtan?,What were you doing?
መላውን ቤተሰብ ለመመገብ እዚህ በቂ ነው።,Asitti maatii guutuu sooruuf gahaadha.,There is enough here to feed the whole family.
የመጨረሻውን ኩኪ የበላው ማነው?,Kukii isa dhumaa eenyutu nyaate?,Who ate the last cookie?
ይህ ፓርክ በፅጌረዳወቹ ታዋቂ ነው።,Paarkiin kun ruuzii isaatiin beekamaadha.,This park is famous for its roses.
ቀድሞውንም ከቢሮ ወጥታለች።,Duraanis waajjira keessaa baatee jirti.,She has already left the office.
ጓደኛሞች ብቻ ነን።,Michoota qofa moo.,We are just friends.
ይህንን ክፍል ለመሳል ቢያንስ ሶስት ሰአታት ይወስዳል።,Kutaa kana dibuuf yoo xiqqaate sa'aatii sadii fudhata ture.,It takes at least three hours to paint this part.
ቶም መዘግየት አልፈለገም።,Toom harkifachuu hin barbaanne.,Tom didn't want to be late.
ዛሬ ማታ እዚህ ማደር አለብኝ።,Halkan kana as buluun qaba.,I have to spend the night here tonight.
እያንዳንዱ ልጅ የራሱ ክፍል አለው።,Tokkoon tokkoon daa'imaa kutaa mataa isaa qaba.,Each child has his own room.
ያንን ዳግም እንዳላደርግ አስታውሰኝ።,Kana booda dabalee akkas akkan hin goone na yaadachiisi.,Remind me not to do that again.
ስድብን ችላ ለማለት እራሱን ማምጣት አልቻለም ።,Arrabsoo sana bira darbuuf of fiduu hin dandeenye.,He couldn't bring himself to ignore the insult.
እንድያደርግ ተደረገ።,Akka godhu godhame.,I was made to do it.
ቶም እኔ ራሴ እንዳደርግ ነገረኝ።,Toom ofii kootii akkan godhu natti hime.,Tom told me to do it myself.
ምን ለማረጋገጥ እየሞከርክ ነው?,Maal mirkaneessuuf yaalaa jirta?,What are you trying to prove?
ወረቀቱን ወደ ኳስ ሰባበረ።,Waraqaa sana ol caccabsee kubbaa ta'e.,He crumpled the paper into a ball.
ለድርጅታችን ለመስራት የወሰናችሁ ምንድን ነው?,Dhaabbata keenyaaf hojjechuuf kan murteessitan maaltu ture?,Why did you decide to work for our company?
ተነጋገርንበት።,Haasofneerraa.,We talked about it.
ሰወች በየአቅጣጫው ተበተኑ።,Namoonni kallattii hundaan faffaca'an.,People scattered in all directions.
አሁንም በወላጆቿ ላይ ጥገኛ ነች።,Ammallee warra ishee irratti hirkattee jirti.,She is still dependent on her parents.
ለምን ስለ ፖለቲካ ማውራት አትወድም?,Maaliif waa'ee siyaasaa dubbachuu hin jaallattu?,Why don't you like to talk about politics?
እሱ ትንሽ ፈሪ ነው።,Xiqqoo sodaatadha.,He's a bit of a coward.
ጊታር ተስተካክሏል።,Giitaarri sun sirratee jira.,Guitar tuned.
ጥያቄየን በፍጥነት ስለመለሱልኝ አደንቃለሁ።,Gaaffii koo akkas daftee deebii kennuu kee nan dinqisiifadha.,I appreciate your quick response to our questions.
በጣም ጥሩ አባት እንዳልሆንኩ አውቃለሁ።,Abbaa baayyee gaarii akkan hin taane nan beeka.,I know I'm not a very good father.
እዚህ አንድ ሁኔታ አለን።,Asitti haala tokko qabna.,Here we have a situation.
መኪና መከራየትም እፈልጋለሁ።,Konkolaataa kireeffachuus nan barbaada.,I also want to rent a car.
መራመድ እንችላለን።,Miillaan deemuu dandeenya turre.,We can walk.
ያንን ሳይ በጣም ደነገጥኩ።,Sana yeroon argu baay'een rifadhe.,I was shocked to see that.
ድንኳኑን የት መትከል ይፈልጋሉ?,Dunkaana eessatti dhaabuu barbaadda?,Where do you want to pitch the tent?
ገንዘቧን፣ ቤተሰቧንና ጓደኞቿን አጣች።,"Maallaqa ishee, maatii ishee fi hiriyyoota ishee dhabde.","She lost her money, her family and her friends."
ዛሬ በቆሻሻ ማጠራቀሚያ ውስጥ መውደቅ ተሰማኝ።,Har'a bakka balfa itti gatamu keessatti kufuun natti dhaga'ama.,I felt down in the dumps today.
ማርያም ችግሯ አለባት።,Maariyaam rakkoo mataa ishee qabdi.,Mary has a problem.
በማእድን ማውጫው ውስጥ በጣም ጨለማ ነበር።,bakka Albuuda baasan keessaa baay'ee dukkanaa'aa ture.,It was very dark in the mine.
ብዙ ማእበል አልነበረም።,Obomboleettii baay'een hin turre.,There wasn't much of a storm.
የተናገረውን አስታውስ።,Waan inni jedhe yaada keessa galchaa.,Remember what he said.
አድስ ምግብ መገኘቱ ከኮከብ ግኝት ይልቅ ለሰው ልጅ የበለጠ ጥቅም አለው።,Nyaata haaraa argachuun urjii argachuu caalaa sanyii namaatiif waan guddaa hojjeta.,The discovery of new food is more beneficial to mankind than the discovery of a star.
